Python,R,Python result,R result,Overall,Row Diff,Col Diff,Semantic,Largest Common,Edit Distance
"mslacc.iloc[0:5, 0:3]","mslacc[1:5, 1:3]","   col0  col1  col2
0     2     7  ID_3
1     0     3  ID_8
2     9     3  ID_0
3     0     2  ID_4
4     0     7  ID_0","   col0  col1  col2
0     2     7  ID_3
1     0     3  ID_8
2     9     3  ID_0
3     0     2  ID_4
4     0     7  ID_0",1.0,1.0,1.0,1.0,"Row: 0:4, Col: 0:2",0.839
mslacc[(mslacc.col1 == 1) & (mslacc.col3 == 1)],"arrange(mslacc, col1, col2)","   col0  col1  col2  col3
0     5     1  ID_4     1","   col0  col1  col2  col3
1     5     1  ID_4     1",1.0,1.0,1.0,1.0,"Row: 0:0, Col: 0:3",0.51
mslacc[(mslacc.col1 == 1) & (mslacc.col3 == 1)],"arrange(mslacc, desc(col1))","   col0  col1  col2  col3
0     5     1  ID_4     1","   col0  col1  col2  col3
1     5     1  ID_4     1",1.0,1.0,1.0,1.0,"Row: 0:0, Col: 0:3",0.523
mslacc[(mslacc.col1 == 1) & (mslacc.col3 == 1)],"mslacc[mslacc$col1 == 1 & mslacc$col3 == 1, ]","   col0  col1  col2  col3
0     5     1  ID_4     1","   col0  col1  col2  col3
0     5     1  ID_4     1",1.0,1.0,1.0,1.0,"Row: 0:0, Col: 0:3",0.925
mslacc[(mslacc.col1 == 1) & (mslacc.col3 == 1)],head(mslacc),"   col0  col1  col2  col3
0     5     1  ID_4     1","   col0  col1  col2  col3
0     5     1  ID_4     1",1.0,1.0,1.0,1.0,"Row: 0:0, Col: 0:3",0.454
mslacc[(mslacc.col1 == 1) & (mslacc.col3 == 1)],"filter(mslacc, col1 == 1, col3 == 1)","   col0  col1  col2  col3
0     5     1  ID_4     1","   col0  col1  col2  col3
1     5     1  ID_4     1",1.0,1.0,1.0,1.0,"Row: 0:0, Col: 0:3",0.624
"mslacc.sort_values(['col1', 'col2'])","arrange(mslacc, col1, col2)","   col0  col1  col2  col3
8     9     0  ID_7     1
3     0     2  ID_4     6
2     9     3  ID_0     8
1     0     3  ID_8     8
7     1     6  ID_0     8
6     7     6  ID_2     7
4     0     7  ID_0     8
0     2     7  ID_3     2
5     0     8  ID_4     7","   col0  col1  col2  col3
1     9     0  ID_7     1
2     0     2  ID_4     6
3     9     3  ID_0     8
4     0     3  ID_8     8
5     1     6  ID_0     8
6     7     6  ID_2     7
7     0     7  ID_0     8
8     2     7  ID_3     2
9     0     8  ID_4     7",1.0,1.0,1.0,1.0,"Row: 0:8, Col: 0:3",0.64
"mslacc.sort_values(['col1', 'col2'])","arrange(mslacc, desc(col1))","   col0  col1  col2  col3
0     2     2  ID_2     1","   col0  col1  col2  col3
1     2     2  ID_2     1",1.0,1.0,1.0,1.0,"Row: 0:0, Col: 0:3",0.578
"mslacc.sort_values(['col1', 'col2'])","mslacc[mslacc$col1 == 1 & mslacc$col3 == 1, ]","   col0  col1  col2  col3
0     5     1  ID_4     1","   col0  col1  col2  col3
0     5     1  ID_4     1",1.0,1.0,1.0,1.0,"Row: 0:0, Col: 0:3",0.591
"mslacc.sort_values(['col1', 'col2'])",head(mslacc),"   col0  col1  col2  col3
0     2     2  ID_2     1","   col0  col1  col2  col3
0     2     2  ID_2     1",1.0,1.0,1.0,1.0,"Row: 0:0, Col: 0:3",0.428
