Python,R,Overall,Row Diff,Col Diff,Semantic,Largest Common,Edit Distance
"df.loc[:, 'col1':'col3']","select(df, col1:col3)",1.0,,,,,
df[['col1']].drop_duplicates(),"distinct(select(df, col1))",1.0,,,,,
"df[['col1', 'col2']].drop_duplicates()","select(df, col1, col2)",0.8667968750000001,,,,,
"df[['col1', 'col2']].drop_duplicates()","distinct(select(df, col1, col2))",1.0,,,,,
"df.sort_values('col1', ascending=False)","arrange(df, desc(col1))",1.0,,,,,
"df.drop(['col1', 'col2'], axis=1)","select(df, -c(col1, col2))",1.0,,,,,
df[['col1']].shape,"dim(df[c(""col1"")])",1.0,,,,,
"df.sort_values(['col1', 'col2'])","arrange(df, col1, col2)",1.0,,,,,
df.iloc[:8],"df[1:7, ]",0.875,,,,,
df.iloc[:8],"df[1:8, ]",1.0,,,,,
"df[['col1', 'col2']]","select(df, col1, col2)",1.0,,,,,
"df[['col1', 'col2']]","distinct(select(df, col1, col2))",0.8667968750000001,,,,,
df.shape,dim(df),1.0,,,,,
"df.iloc[0:5, 0:3]","df[1:5, 1:3]",1.0,,,,,
df[['col1']],"df[c(""col1"")]",1.0,,,,,
df.head(),head(df),0.8329999999999986,,,,,
df.iloc[:7],head(df),0.8569999999999994,,,,,
df.iloc[:7],"df[1:7, ]",1.0,,,,,
df.iloc[:7],"df[1:8, ]",0.875,,,,,
"df.loc[1:2, ('col1')]","df[2:3, ""col1""]",1.0,,,,,
