Python,R,Test Case,Python result,R result,Overall,Row Diff,Col Diff,Semantic,Largest Common,Edit Distance
df.head(),head(df),,,,0.842,,,,,
df.head(),"df[1:5, 1:3]",,,,0.72,,,,,
df[['col1']].drop_duplicates(),"distinct(select(df, col1))",,,,1.0,,,,,
"df.sort_values(['col1', 'col2'])","arrange(df, col1, col2)",,,,1.0,,,,,
df.shape,dim(df),,,,1.0,,,,,
"df[['col1', 'col2']]","select(df, col1, col2)",,,,1.0,,,,,
"df[['col1', 'col2']].drop_duplicates()","distinct(select(df, col1, col2))",,,,1.0,,,,,
"df.loc[1:2, ('col1')]","df[2:3, ""col1""]",,,,0.95,,,,,
df.query('col1 == 1 & col3 == 1'),"filter(df, col1 == 1, col3 == 1)",,,,1.0,,,,,
df[['col1']],"df[c(""col1"")]",,,,1.0,,,,,
df[(df.col1 == 1) & (df.col3 == 1)],"filter(df, col1 == 1, col3 == 1)",,,,1.0,,,,,
"df.loc[:, 'col1':'col3']","select(df, col1:col3)",,,,1.0,,,,,
"df.iloc[0:5, 0:3]","df[1:5, 1:3]",,,,0.96,,,,,
"df.drop(['col1', 'col2'], axis=1)","select(df, -c(col1, col2))",,,,1.0,,,,,
df.iloc[:7],"slice(df, 1:8)",,,,0.881,,,,,
df.iloc[:7],head(df),,,,0.864,,,,,
df.iloc[:7],"df[1:7, ]",,,,0.957,,,,,
df.iloc[:7],"df[1:8, ]",,,,0.838,,,,,
df.iloc[:8],"slice(df, 1:8)",,,,1.0,,,,,
df.iloc[:8],head(df),,,,0.762,,,,,
df.iloc[:8],"df[1:7, ]",,,,0.838,,,,,
df.iloc[:8],"df[1:8, ]",,,,0.956,,,,,
df[['col1']].shape,"dim(df[c(""col1"")])",,,,1.0,,,,,
