python,r,test_case,python_result,r_result,overall,row_diff,col_diff,semantic_score,largest_common,edit_distance
df[['col1']].shape,dim(df),,,,0.5,,,,,0.466
df[['col1']].shape,dim(df),"col0,col1,col2,col3
3.0,2.0,ID_8,1.0
5.0,5.0,ID_0,
0.0,6.0,ID_8,0.0
0.0,,ID_6,
3.0,7.0,ID_7,4.0
1.0,1.0,ID_2,0.0
9.0,4.0,ID_5,7.0
,1.0,ID_0,4.0
1.0,5.0,ID_8,6.0
4.0,0.0,ID_7,3.0
5.0,8.0,,6.0
8.0,5.0,ID_8,4.0
7.0,1.0,ID_4,0.0
5.0,8.0,ID_4,4.0
4.0,3.0,ID_8,5.0
4.0,5.0,ID_7,3.0
7.0,7.0,ID_5,8.0
9.0,0.0,ID_8,4.0
,5.0,ID_0,4.0
","(19, 1)",[19  4],0.5,,,0.5,,0.466
df[['col1']].shape,dim(df),"col0,col1,col2,col3
4,3.0,ID_1,3
1,3.0,ID_2,6
8,1.0,ID_3,6
8,8.0,ID_1,6
4,,,0
9,,ID_2,6
","(6, 1)",[6 4],0.5,,,0.5,,0.466
df[['col1']].shape,dim(df),"col0,col1,col2,col3
,1.0,ID_7,0
6.0,0.0,ID_8,1
8.0,6.0,ID_5,0
6.0,,ID_8,1
5.0,6.0,ID_3,0
2.0,1.0,ID_8,0
","(6, 1)",[6 4],0.5,,,0.5,,0.466
df[['col1']].shape,dim(df),"col0,col1,col2,col3
4,3.0,,3
8,5.0,ID_0,8
0,3.0,ID_8,4
2,7.0,ID_2,6
1,7.0,ID_0,8
8,4.0,ID_4,1
7,2.0,ID_5,3
7,,ID_3,3
6,5.0,ID_8,1
","(9, 1)",[9 4],0.5,,,0.5,,0.466
df[['col1']].shape,dim(df),"col0,col1,col2,col3
9.0,6.0,ID_4,2
0.0,4.0,ID_8,2
4.0,3.0,,8
5.0,0.0,ID_3,6
7.0,1.0,ID_7,2
4.0,,ID_7,0
,4.0,ID_4,8
7.0,,,6
3.0,1.0,ID_4,7
5.0,7.0,ID_5,3
2.0,6.0,ID_6,1
8.0,7.0,ID_4,6
","(12, 1)",[12  4],0.5,,,0.5,,0.466
df[['col1']].shape,dim(df),"col0,col1,col2,col3
0.0,1,ID_4,2.0
4.0,3,ID_0,6.0
,2,ID_6,6.0
2.0,2,ID_1,7.0
0.0,1,,3.0
1.0,7,ID_2,
2.0,7,ID_5,
","(7, 1)",[7 4],0.5,,,0.5,,0.466
df[['col1']].shape,dim(df),"col0,col1,col2,col3
1,3,ID_3,6
6,6,ID_4,0
4,2,ID_0,2
1,6,ID_3,1
9,6,ID_6,1
","(5, 1)",[5 4],0.5,,,0.5,,0.466
df[['col1']].shape,dim(df),"col0,col1,col2,col3
7.0,3.0,ID_4,2.0
3.0,5.0,ID_8,2.0
,3.0,ID_0,1.0
1.0,5.0,ID_7,2.0
9.0,7.0,ID_5,1.0
,3.0,ID_6,8.0
5.0,0.0,ID_0,5.0
6.0,1.0,ID_8,3.0
,8.0,ID_3,2.0
5.0,0.0,ID_2,6.0
7.0,,ID_6,4.0
2.0,5.0,ID_5,
9.0,6.0,ID_7,
","(13, 1)",[13  4],0.5,,,0.5,,0.466
df[['col1']].shape,dim(df),"col0,col1,col2,col3
0.0,1.0,ID_4,
7.0,2.0,,3.0
,3.0,ID_3,3.0
2.0,6.0,ID_1,
6.0,5.0,ID_5,8.0
1.0,,ID_4,6.0
6.0,8.0,ID_1,7.0
2.0,2.0,ID_2,6.0
","(8, 1)",[8 4],0.5,,,0.5,,0.466
df[['col1']].shape,dim(df),"col0,col1,col2,col3
6.0,7.0,ID_1,1.0
3.0,2.0,ID_8,8.0
4.0,3.0,ID_5,7.0
9.0,,ID_8,3.0
0.0,2.0,ID_8,4.0
7.0,6.0,ID_4,
3.0,5.0,ID_8,0.0
,2.0,ID_0,4.0
8.0,2.0,ID_5,4.0
","(9, 1)",[9 4],0.5,,,0.5,,0.466
df[['col1']].shape,dim(df),"col0,col1,col2,col3
9,6,,6
6,7,ID_4,4
6,8,ID_6,4
4,0,ID_4,1
2,6,ID_3,3
0,1,ID_5,8
8,3,ID_3,6
2,7,ID_2,8
","(8, 1)",[8 4],0.5,,,0.5,,0.466
