python,r,overall,edit_distance
df[['col1']],"df[c(""col1"")]",1.0,0.761
df.query('col1 == 1 & col3 == 1'),"filter(df, col1 == 1, col3 == 1)",1.0,0.737
df[(df.col1 == 1) & (df.col3 == 1)],"filter(df, col1 == 1, col3 == 1)",1.0,0.655
df[['col1']].shape,"dim(df[c(""col1"")])",1.0,0.63
"df.loc[:, 'col1':'col3']","select(df, col1:col3)",1.0,0.627
"df.sort_values(['col1', 'col2'])","arrange(df, col1, col2)",1.0,0.614
df.iloc[:8],"slice(df, 1:8)",1.0,0.606
"df[['col1', 'col2']]","select(df, col1, col2)",1.0,0.558
"df.drop(['col1', 'col2'], axis=1)","select(df, -c(col1, col2))",1.0,0.524
"df[['col1', 'col2']].drop_duplicates()","distinct(select(df, col1, col2))",1.0,0.52
df.shape,dim(df),1.0,0.512
df[['col1']].drop_duplicates(),"distinct(select(df, col1))",1.0,0.478
"df.sort_values('col1', ascending=False)","arrange(df, desc(col1))",0.973,0.49
"df.loc[1:2, ('col1')]","df[2:3, ""col1""]",0.957,0.657
df.iloc[:7],"slice(df, 1:8)",0.919,0.53
"df.iloc[0:5, 0:3]","df[1:5, 1:3]",0.912,0.794
df.iloc[:7],head(df),0.898,0.405
df.head(),head(df),0.874,0.741
df.iloc[:7],"df[1:7, ]",0.862,0.693
"df[['col1', 'col2']]","distinct(select(df, col1, col2))",0.851,0.486
"df[['col1', 'col2']].drop_duplicates()","select(df, col1, col2)",0.851,0.464
df.iloc[:8],"df[1:8, ]",0.835,0.693
df.iloc[:8],head(df),0.829,0.405
df.iloc[:8],"df[1:7, ]",0.781,0.621
df.iloc[:7],"df[1:8, ]",0.754,0.621
df.head(),"slice(df, 1:8)",0.731,0.501
df[(df.col1 == 1) & (df.col3 == 1)],"df[df$col1 == 1 & df$col3 == 1, ]",0.698,0.893
df.query('col1 == 1 & col3 == 1'),"df[df$col1 == 1 & df$col3 == 1, ]",0.698,0.761
df.head(),"df[1:5, 1:3]",0.684,0.468
"df.loc[:, 'col1':'col3']","select(df, col1, col2)",0.667,0.554
"df[['col1', 'col2']]","select(df, col1:col3)",0.667,0.509
"df.iloc[0:5, 0:3]",head(df),0.655,0.396
df.head(),"df[1:7, ]",0.652,0.491
df.head(),"df[1:8, ]",0.57,0.491
"df.loc[:, 'col1':'col3']","slice(df, 1:8)",0.569,0.448
df.iloc[:8],"select(df, col1:col3)",0.569,0.438
"df.loc[:, 'col1':'col3']","distinct(select(df, col1, col2))",0.567,0.494
"df[['col1', 'col2']].drop_duplicates()","select(df, col1:col3)",0.567,0.423
"df.iloc[0:5, 0:3]","slice(df, 1:8)",0.548,0.492
df.iloc[:7],"select(df, col1:col3)",0.531,0.438
df.iloc[:7],"df[1:5, 1:3]",0.526,0.636
df[['col1']].drop_duplicates(),"df[c(""col1"")]",0.5,0.627
df[['col1']].shape,dim(df),0.5,0.466
df[['col1']],"distinct(select(df, col1))",0.5,0.457
df.shape,"dim(df[c(""col1"")])",0.5,0.454
