python,r,overall,edit_distance
"df.loc[(df.col1.isnull()), :]","filter(df, col1 == 1, col3 == 1)",0.323,0.513
"df.loc[(df.col1.isnull()), :]","arrange(df, desc(col1))",0.102,0.544
"df.loc[(df.col1.isnull()), :]","df[order(-df$col1), ]",0.102,0.674
"df.loc[(df.col1.isnull()), :]","df[!is.na(df[""col2""]) & df$col2%in%c(""ID_3"", ""ID_4""), ]",0.231,0.561
"df.loc[(df.col1.isnull()), :]",head(df),0.1,0.548
"df.loc[(df.col1.isnull()), :]","df[df$col2%in%c(""ID_0"", ""ID_1""), ]",0.226,0.555
"df.loc[(df.col1.isnull()), :]","df[df$col1 == 1 & df$col3 == 1, ]",0.392,0.56
"df.loc[(df.col1.isnull()), :]","head(df[df$col1 == 1 & df$col3 == 1, ])",0.392,0.534
"df.loc[(df.col1.isnull()), :]","df[is.na(df$col1), ]",1.0,0.662
"df.loc[(df.col1.isnull()), :]","df[which(df$col1 == 1 & df$col3 == 1), ]",0.323,0.6
df[(df.col1 == 1) & (df.col3 == 1)].head(),"filter(df, col1 == 1, col3 == 1)",1.0,0.612
df[(df.col1 == 1) & (df.col3 == 1)].head(),"df[!is.na(df[""col2""]) & df$col2%in%c(""ID_3"", ""ID_4""), ]",0.226,0.594
df[(df.col1 == 1) & (df.col3 == 1)].head(),"df[df$col2%in%c(""ID_0"", ""ID_1""), ]",0.261,0.474
df[(df.col1 == 1) & (df.col3 == 1)].head(),"df[df$col1 == 1 & df$col3 == 1, ]",0.684,0.841
df[(df.col1 == 1) & (df.col3 == 1)].head(),"head(df[df$col1 == 1 & df$col3 == 1, ])",0.684,0.691
df[(df.col1 == 1) & (df.col3 == 1)].head(),"df[is.na(df$col1), ]",0.323,0.63
df[(df.col1 == 1) & (df.col3 == 1)].head(),"df[which(df$col1 == 1 & df$col3 == 1), ]",1.0,0.697
df.query('col1<5').head(),"slice(df, 1:8)",0.388,0.487
df.query('col1<5').head(),"slice(df, 1:7)",0.402,0.487
df.query('col1<5').head(),"arrange(df, desc(col1))",0.254,0.577
df.query('col1<5').head(),"select(df, col1, col2)",0.164,0.492
df.query('col1<5').head(),"df[order(-df$col1), ]",0.254,0.567
df.query('col1<5').head(),"df[order(df$col1, df$col2), ]",0.234,0.495
df.query('col1<5').head(),"df[!is.na(df[""col2""]) & df$col2%in%c(""ID_3"", ""ID_4""), ]",0.183,0.446
df.query('col1<5').head(),"distinct(select(df, col1, col2))",0.168,0.502
df.query('col1<5').head(),head(df),0.387,0.387
df.query('col1<5').head(),"df[1:5, 1:3]",0.228,0.464
df.query('col1<5').head(),"df[df$col2%in%c(""ID_0"", ""ID_1""), ]",0.179,0.404
df.query('col1<5').head(),"head(subset(df, col1<5))",0.932,0.622
df.query('col1<5').head(),"df[1:8, ]",0.287,0.443
df.query('col1<5').head(),"arrange(df, col1, col2)",0.234,0.542
