python,r,test_case,python_result,r_result,overall,row_diff,col_diff,semantic_score,largest_common,edit_distance
df.head(),"select(df, -c(col1, col2))",,,,0.19,,,,,0.375
df.head(),"select(df, -c(col1, col2))","col0,col1,col2,col3
2,5,ID_3,7
3,3,ID_8,8
","col0,col1,col2,col3
2,5,ID_3,7
3,3,ID_8,8
","col0,col3
2,7
3,8
",0.25,1.0,0.5,0.5,"Row: 0:1, Col: 0:1",0.375
df.head(),"select(df, -c(col1, col2))","col0,col1,col2,col3
6,1.0,ID_2,6
1,,ID_5,2
0,3.0,ID_6,3
5,3.0,ID_8,5
3,0.0,ID_7,5
5,2.0,,5
6,4.0,ID_0,3
8,6.0,ID_8,4
1,3.0,ID_7,2
","col0,col1,col2,col3
6,1.0,ID_2,6
1,,ID_5,2
0,3.0,ID_6,3
5,3.0,ID_8,5
3,0.0,ID_7,5
","col0,col3
6,6
1,2
0,3
5,5
3,5
5,5
6,3
8,4
1,2
",0.16666666666666666,0.556,0.5,0.6,"Row: 4:8, Col: 0:1",0.375
df.head(),"select(df, -c(col1, col2))","col0,col1,col2,col3
8,6.0,ID_2,0.0
1,8.0,ID_3,
2,2.0,ID_5,1.0
8,4.0,ID_8,4.0
2,3.0,,7.0
4,,ID_8,5.0
6,5.0,ID_8,2.0
1,6.0,ID_0,2.0
4,0.0,ID_3,4.0
1,2.0,ID_5,
","col0,col1,col2,col3
8,6.0,ID_2,0.0
1,8.0,ID_3,
2,2.0,ID_5,1.0
8,4.0,ID_8,4.0
2,3.0,,7.0
","col0,col3
8,0.0
1,
2,1.0
8,4.0
2,7.0
4,5.0
6,2.0
1,2.0
4,4.0
1,
",0.15,0.5,0.5,0.6,"Row: 5:9, Col: 0:1",0.375
df.head(),"select(df, -c(col1, col2))","col0,col1,col2,col3
5,,ID_3,3
","col0,col1,col2,col3
5,,ID_3,3
","col0,col3
5,3
",0.25,1.0,0.5,0.5,"Row: 0:0, Col: 0:1",0.375
df.head(),"select(df, -c(col1, col2))","col0,col1,col2,col3
4,1.0,ID_2,3
3,1.0,ID_8,7
3,0.0,ID_2,1
6,0.0,ID_8,7
7,4.0,ID_3,8
0,2.0,ID_3,1
7,5.0,ID_6,2
3,,ID_5,3
7,5.0,ID_5,6
","col0,col1,col2,col3
4,1.0,ID_2,3
3,1.0,ID_8,7
3,0.0,ID_2,1
6,0.0,ID_8,7
7,4.0,ID_3,8
","col0,col3
4,3
3,7
3,1
6,7
7,8
0,1
7,2
3,3
7,6
",0.1388888888888889,0.556,0.5,0.5,"Row: 4:8, Col: 0:1",0.375
df.head(),"select(df, -c(col1, col2))","col0,col1,col2,col3
2,7,ID_4,3
","col0,col1,col2,col3
2,7,ID_4,3
","col0,col3
2,3
",0.25,1.0,0.5,0.5,"Row: 0:0, Col: 0:1",0.375
df.head(),"select(df, -c(col1, col2))","col0,col1,col2,col3
9,,ID_0,5
","col0,col1,col2,col3
9,,ID_0,5
","col0,col3
9,5
",0.25,1.0,0.5,0.5,"Row: 0:0, Col: 0:1",0.375
df.head(),"select(df, -c(col1, col2))","col0,col1,col2,col3
5,4.0,,6.0
4,7.0,ID_8,4.0
5,0.0,ID_5,3.0
7,8.0,,5.0
8,4.0,ID_2,3.0
3,5.0,ID_4,8.0
8,8.0,ID_7,
8,,ID_5,7.0
9,3.0,ID_8,4.0
","col0,col1,col2,col3
5,4.0,,6.0
4,7.0,ID_8,4.0
5,0.0,ID_5,3.0
7,8.0,,5.0
8,4.0,ID_2,3.0
","col0,col3
5,6.0
4,4.0
5,3.0
7,5.0
8,3.0
3,8.0
8,
8,7.0
9,4.0
",0.1388888888888889,0.556,0.5,0.5,"Row: 4:8, Col: 0:1",0.375
df.head(),"select(df, -c(col1, col2))","col0,col1,col2,col3
8.0,0.0,ID_0,1.0
,6.0,ID_3,
7.0,,ID_8,
7.0,8.0,ID_1,1.0
9.0,0.0,ID_3,
2.0,0.0,,4.0
8.0,,ID_2,5.0
,5.0,ID_2,1.0
","col0,col1,col2,col3
8.0,0.0,ID_0,1.0
,6.0,ID_3,
7.0,,ID_8,
7.0,8.0,ID_1,1.0
9.0,0.0,ID_3,
","col0,col3
8.0,1.0
,
7.0,
7.0,1.0
9.0,
2.0,4.0
8.0,5.0
,1.0
",0.125,0.625,0.5,0.4,"Row: 3:7, Col: 0:1",0.375
