Python,R,Row Diff,Col Diff,Semantic,Largest Common,Edit Distance
mslacc.drop_duplicates(),mslacc$table,0,0,0.983,"Row: 0:890, Col: 0:11",0.625
mslacc.drop_duplicates(),mslacc$surname<-NULL,0,0,0.983,"Row: 0:890, Col: 0:11",0.606
mslacc.drop_duplicates(),"head(mslacc, 20)",871,0,0.988,"Row: 0:19, Col: 0:11",0.419
mslacc.drop_duplicates(),mslacc$Sex=NULL,0,1,0.632,"Row: 0:890, Col: 1:11",0.55
mslacc.drop_duplicates(),mslacc$Embarked=NULL,0,1,0.982,"Row: 0:890, Col: 0:10",0.589
mslacc.drop_duplicates(),"select(mslacc, Survived)",0,11,1.0,"Row: 0:890, Col: 1:1",0.6
mslacc.drop_duplicates(),mslacc$Survived=NULL,0,1,0.891,"Row: 0:890, Col: 1:11",0.609
mslacc.drop_duplicates(),mslacc$Name<-NULL,0,1,0.723,"Row: 0:890, Col: 1:11",0.534
mslacc.drop_duplicates(),"head(mslacc, 5)",886,0,1.0,"Row: 0:4, Col: 0:11",0.431
mslacc.drop_duplicates(),mslacc$method,0,0,0.983,"Row: 0:890, Col: 0:11",0.608
mslacc.drop_duplicates(),mslacc$median,0,0,0.983,"Row: 0:890, Col: 0:11",0.689
mslacc.drop_duplicates(),mslacc$Ticket<-NULL,0,1,0.709,"Row: 0:890, Col: 0:10",0.614
mslacc.drop_duplicates(),"head(mslacc, n=3)",888,0,1.0,"Row: 0:2, Col: 0:11",0.465
mslacc.drop_duplicates(),mslacc$importance,0,0,0.983,"Row: 0:890, Col: 0:11",0.731
"mslacc.drop(labels=['Parch', 'SibSp'], axis=1, inplace=True)",mslacc$table,0,8,0.5,"Row: 0:890, Col: 1:4",0.62
"mslacc.drop(labels=['Parch', 'SibSp'], axis=1, inplace=True)",mslacc$surname<-NULL,0,8,0.5,"Row: 0:890, Col: 1:4",0.492
"mslacc.drop(labels=['Parch', 'SibSp'], axis=1, inplace=True)","head(mslacc, 20)",871,8,0.5,"Row: 871:890, Col: 1:4",0.419
"mslacc.drop(labels=['Parch', 'SibSp'], axis=1, inplace=True)",mslacc$Sex=NULL,0,7,0.5,"Row: 0:890, Col: 1:4",0.558
"mslacc.drop(labels=['Parch', 'SibSp'], axis=1, inplace=True)",mslacc$Embarked=NULL,0,7,0.5,"Row: 0:890, Col: 1:4",0.534
"mslacc.drop(labels=['Parch', 'SibSp'], axis=1, inplace=True)","select(mslacc, Survived)",0,3,1.0,"Row: 0:890, Col: 0:0",0.444
"mslacc.drop(labels=['Parch', 'SibSp'], axis=1, inplace=True)",mslacc$Survived=NULL,0,7,0.25,"Row: 0:890, Col: 0:3",0.508
"mslacc.drop(labels=['Parch', 'SibSp'], axis=1, inplace=True)",mslacc$Name<-NULL,0,7,0.5,"Row: 0:890, Col: 1:4",0.537
"mslacc.drop(labels=['Parch', 'SibSp'], axis=1, inplace=True)","head(mslacc, 5)",886,8,0.5,"Row: 886:890, Col: 1:4",0.434
"mslacc.drop(labels=['Parch', 'SibSp'], axis=1, inplace=True)",mslacc$method,0,8,0.5,"Row: 0:890, Col: 1:4",0.58
"mslacc.drop(labels=['Parch', 'SibSp'], axis=1, inplace=True)",mslacc$median,0,8,0.5,"Row: 0:890, Col: 1:4",0.561
"mslacc.drop(labels=['Parch', 'SibSp'], axis=1, inplace=True)",mslacc$Ticket<-NULL,0,7,0.5,"Row: 0:890, Col: 1:4",0.497
"mslacc.drop(labels=['Parch', 'SibSp'], axis=1, inplace=True)","head(mslacc, n=3)",888,8,0.5,"Row: 69:71, Col: 1:4",0.45
"mslacc.drop(labels=['Parch', 'SibSp'], axis=1, inplace=True)",mslacc$importance,0,8,0.5,"Row: 0:890, Col: 1:4",0.583
"mslacc.drop(['Name', 'Sex'], 1, inplace=True)",mslacc$table,0,8,0.5,"Row: 0:890, Col: 1:4",0.583
"mslacc.drop(['Name', 'Sex'], 1, inplace=True)",mslacc$surname<-NULL,0,8,0.5,"Row: 0:890, Col: 1:4",0.543
"mslacc.drop(['Name', 'Sex'], 1, inplace=True)","head(mslacc, 20)",871,8,0.5,"Row: 871:890, Col: 1:4",0.485
"mslacc.drop(['Name', 'Sex'], 1, inplace=True)",mslacc$Sex=NULL,0,7,0.5,"Row: 0:890, Col: 1:4",0.544
"mslacc.drop(['Name', 'Sex'], 1, inplace=True)",mslacc$Embarked=NULL,0,7,0.5,"Row: 0:890, Col: 1:4",0.545
"mslacc.drop(['Name', 'Sex'], 1, inplace=True)","select(mslacc, Survived)",0,3,1.0,"Row: 0:890, Col: 0:0",0.436
"mslacc.drop(['Name', 'Sex'], 1, inplace=True)",mslacc$Survived=NULL,0,7,0.25,"Row: 0:890, Col: 0:3",0.513
