Python,R,Python result,R result,Row Diff,Col Diff,Semantic,Largest Common,Edit Distance
mslacc.shape,"mslacc[[""col1""]]","[7, 4]",[3 6 4 3 8 1 3],,,0.167,,0.625
mslacc.shape,"mslacc[2, ""col1""]","[7, 4]",[4],,,0.5,,0.625
mslacc.shape,"dim(mslacc[c(""col1"")])","[7, 4]",[7 1],,,0.333,,0.591
mslacc.shape,dim(mslacc),"[7, 4]",[7 4],,,1.0,,0.682
mslacc.query('col1 == 1 & col3 == 1'),"distinct(select(mslacc, col1, col2))","   col0  col1  col2  col3
4     9     1  ID_2     1","   col1  col2
1     3  ID_7
2     6  ID_4
3     4  ID_5
4     3  ID_6
5     8  ID_4
6     1  ID_6
7     3  ID_8",6,2,0.5,"Row: 1:1, Col: 1:2",0.516
mslacc.query('col1 == 1 & col3 == 1'),"arrange(mslacc, col1, col2)","   col0  col1  col2  col3
4     9     1  ID_2     1","   col0  col1  col2  col3
1     8     1  ID_6     5
2     8     3  ID_6     6
3     0     3  ID_7     1
4     4     3  ID_8     0
5     3     4  ID_5     5
6     2     6  ID_4     3
7     5     8  ID_4     6",6,0,0.25,"Row: 0:0, Col: 0:3",0.655
mslacc.query('col1 == 1 & col3 == 1'),"select(mslacc, col1, col2)","   col0  col1  col2  col3
4     9     1  ID_2     1","   col1  col2
0     3  ID_7
1     6  ID_4
2     4  ID_5
3     3  ID_6
4     8  ID_4
5     1  ID_6
6     3  ID_8",6,2,0.5,"Row: 1:1, Col: 1:2",0.582
mslacc.query('col1 == 1 & col3 == 1'),"mslacc[mslacc$col1 == 1 & mslacc$col3 == 1, ]","   col0  col1  col2  col3
4     9     1  ID_2     1","   col0  col1  col2  col3
4     9     1  ID_2     1",0,0,1.0,"Row: 0:0, Col: 0:3",0.656
mslacc.query('col1 == 1 & col3 == 1'),"arrange(mslacc, desc(col1))","   col0  col1  col2  col3
4     9     1  ID_2     1","   col0  col1  col2  col3
1     5     8  ID_4     6
2     2     6  ID_4     3
3     3     4  ID_5     5
4     0     3  ID_7     1
5     8     3  ID_6     6
6     4     3  ID_8     0
7     8     1  ID_6     5",6,0,0.25,"Row: 3:3, Col: 0:3",0.542
mslacc.query('col1 == 1 & col3 == 1'),"mslacc[1:7, ]","   col0  col1  col2  col3
4     9     1  ID_2     1","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6
5     8     1  ID_6     5
6     4     3  ID_8     0",6,0,0.25,"Row: 0:0, Col: 0:3",0.565
mslacc.query('col1 == 1 & col3 == 1'),"mslacc[1:8, ]","   col0  col1  col2  col3
4     9     1  ID_2     1","          col0        col1  col2        col3
0            0           3  ID_7           1
1            2           6  ID_4           3
2            3           4  ID_5           5
3            8           3  ID_6           6
4            5           8  ID_4           6
5            8           1  ID_6           5
6            4           3  ID_8           0
NA -2147483648 -2147483648    NA -2147483648",7,0,0.25,"Row: 0:0, Col: 0:3",0.565
mslacc.query('col1 == 1 & col3 == 1'),"distinct(select(mslacc, col1))","   col0  col1  col2  col3
4     9     1  ID_2     1","   col1
1     3
2     6
3     4
4     8
5     1",4,3,1.0,"Row: 0:0, Col: 1:1",0.482
mslacc.query('col1 == 1 & col3 == 1'),"select(mslacc, -c(col1, col2))","   col0  col1  col2  col3
4     9     1  ID_2     1","   col0  col3
0     0     1
1     2     3
2     3     5
3     8     6
4     5     6
5     8     5
6     4     0",6,2,0.5,"Row: 6:6, Col: 0:1",0.55
mslacc.query('col1 == 1 & col3 == 1'),head(mslacc),"   col0  col1  col2  col3
4     9     1  ID_2     1","   col0  col1  col2  col3
0     0     3  ID_7     1
1     2     6  ID_4     3
2     3     4  ID_5     5
3     8     3  ID_6     6
4     5     8  ID_4     6
5     8     1  ID_6     5",5,0,0.25,"Row: 0:0, Col: 0:3",0.453
mslacc.query('col1 == 1 & col3 == 1'),"select(mslacc, col1:col3)","   col0  col1  col2  col3
4     9     1  ID_2     1","   col1  col2  col3
0     3  ID_7     1
1     6  ID_4     3
2     4  ID_5     5
3     3  ID_6     6
4     8  ID_4     6
5     1  ID_6     5
6     3  ID_8     0",6,1,0.333,"Row: 1:1, Col: 1:3",0.615
mslacc.query('col1 == 1 & col3 == 1'),"mslacc[1:5, 1:3]","   col0  col1  col2  col3
4     9     1  ID_2     1","   col0  col1  col2
0     2     4  ID_7
1     4     1  ID_6
2     8     5  ID_1
3     4     5  ID_5
4     6     3  ID_8",4,1,0.333,"Row: 3:3, Col: 0:2",0.564
mslacc[(mslacc.col1 == 1) & (mslacc.col3 == 1)],"distinct(select(mslacc, col1, col2))","   col0  col1  col2  col3
4     9     1  ID_2     1","   col1  col2
1     3  ID_7
2     6  ID_4
3     4  ID_5
4     3  ID_6
5     8  ID_4
6     1  ID_6
7     3  ID_8",6,2,0.5,"Row: 1:1, Col: 1:2",0.576
mslacc[(mslacc.col1 == 1) & (mslacc.col3 == 1)],"arrange(mslacc, col1, col2)","   col0  col1  col2  col3
4     9     1  ID_2     1","   col0  col1  col2  col3
1     8     1  ID_6     5
2     8     3  ID_6     6
3     0     3  ID_7     1
4     4     3  ID_8     0
5     3     4  ID_5     5
6     2     6  ID_4     3
7     5     8  ID_4     6",6,0,0.25,"Row: 0:0, Col: 0:3",0.51
mslacc[(mslacc.col1 == 1) & (mslacc.col3 == 1)],"select(mslacc, col1, col2)","   col0  col1  col2  col3
4     9     1  ID_2     1","   col1  col2
0     3  ID_7
1     6  ID_4
2     4  ID_5
3     3  ID_6
4     8  ID_4
5     1  ID_6
6     3  ID_8",6,2,0.5,"Row: 1:1, Col: 1:2",0.561
mslacc[(mslacc.col1 == 1) & (mslacc.col3 == 1)],"mslacc[mslacc$col1 == 1 & mslacc$col3 == 1, ]","   col0  col1  col2  col3
4     9     1  ID_2     1","   col0  col1  col2  col3
4     9     1  ID_2     1",0,0,1.0,"Row: 0:0, Col: 0:3",0.925
