Python,R,Row Diff,Col Diff,Semantic,Largest Common,Edit Distance
mslacc.drop_duplicates(),mslacc$table,0,0,0.991,"Row: 0:48, Col: 0:11",0.625
mslacc.drop_duplicates(),mslacc$surname<-NULL,0,0,0.991,"Row: 0:48, Col: 0:11",0.606
mslacc.drop_duplicates(),"head(mslacc, 20)",29,0,0.992,"Row: 0:19, Col: 0:11",0.419
mslacc.drop_duplicates(),mslacc$Sex=NULL,0,1,0.638,"Row: 0:48, Col: 1:11",0.55
mslacc.drop_duplicates(),mslacc$Embarked=NULL,0,1,0.991,"Row: 0:48, Col: 0:10",0.589
mslacc.drop_duplicates(),"select(mslacc, Survived)",0,11,1.0,"Row: 0:48, Col: 1:1",0.6
mslacc.drop_duplicates(),mslacc$Survived=NULL,0,1,0.9,"Row: 0:48, Col: 1:11",0.609
mslacc.drop_duplicates(),mslacc$Name<-NULL,0,1,0.729,"Row: 0:48, Col: 1:11",0.534
mslacc.drop_duplicates(),"head(mslacc, 5)",44,0,0.983,"Row: 0:4, Col: 0:11",0.431
mslacc.drop_duplicates(),mslacc$method,0,0,0.991,"Row: 0:48, Col: 0:11",0.608
mslacc.drop_duplicates(),mslacc$median,0,0,0.991,"Row: 0:48, Col: 0:11",0.689
mslacc.drop_duplicates(),mslacc$Ticket<-NULL,0,1,0.729,"Row: 0:48, Col: 0:10",0.614
mslacc.drop_duplicates(),"head(mslacc, n=3)",46,0,0.972,"Row: 0:2, Col: 0:11",0.465
mslacc.drop_duplicates(),mslacc$importance,0,0,0.991,"Row: 0:48, Col: 0:11",0.731
"mslacc.drop(labels=['Parch', 'SibSp'], axis=1, inplace=True)",mslacc$table,0,8,0.5,"Row: 0:48, Col: 1:4",0.62
"mslacc.drop(labels=['Parch', 'SibSp'], axis=1, inplace=True)",mslacc$surname<-NULL,0,8,0.5,"Row: 0:48, Col: 1:4",0.492
"mslacc.drop(labels=['Parch', 'SibSp'], axis=1, inplace=True)","head(mslacc, 20)",29,8,0.5,"Row: 29:48, Col: 1:4",0.419
"mslacc.drop(labels=['Parch', 'SibSp'], axis=1, inplace=True)",mslacc$Sex=NULL,0,7,0.5,"Row: 0:48, Col: 1:4",0.558
"mslacc.drop(labels=['Parch', 'SibSp'], axis=1, inplace=True)",mslacc$Embarked=NULL,0,7,0.5,"Row: 0:48, Col: 1:4",0.534
